36128,8d2,A,MOH GEO TAC 4,Simcoe Assigner (Tactical 4) ,EMS Dispatch ,MOH Georgian CACC 
36144,8d3,A,MOH GEO TAC 5,Simcoe Follower (Tactical 5) ,EMS Dispatch ,MOH Georgian CACC 
36160,8d4,A,MOH GEO SIM S,Simcoe South - Hospital Patch ,EMS-Tac ,MOH Georgian CACC 
36176,8d5,A,Toronto CACC,Toronto CACC ,EMS Dispatch ,MOH Toronto CACC 
36192,8d6,A,RVH,Royal Victoria Hospital - Barrie ,Hospital ,MOH Hospital Patch 
36208,8d7,A,GBG Midland,Georgian Bay General - Midland ,Hospital ,MOH Hospital Patch 
36224,8d8,A,SMH Orillia,Soldiers' Memorial Hospital - Orillia ,Hospital ,MOH Hospital Patch 
36240,8d9,A,SMH Alliston,Stevenson Memorial - Alliston ,Hospital ,MOH Hospital Patch 
36256,8da,A,G&M Collingw,General & Marine Hospital - Collingwood ,Hospital ,MOH Hospital Patch 
36272,8db,A,SLRHC,South Lake - Newmarket ,Hospital ,MOH Hospital Patch 
36288,8dc,A,Georgian Spr,Georgian Hospital Spare ,Hospital ,MOH Hospital Patch 
36304,8dd,A,JBMH,Joseph Brant Memorial - Burlington ,Hospital ,MOH Hospital Patch 
36320,8de,A,HHC GH,Halton Healthcare - Georgetown ,Hospital ,MOH Hospital Patch 
36336,8df,A,HHC OTMH,Halton Healthcare - Oakville  ,Hospital ,MOH Hospital Patch 
36352,8e0,A,HHC MDH,Halton Healthcare - Milton  ,Hospital ,MOH Hospital Patch 
36368,8e1,A,Osler - BCH,William Osler Health - Brampton  ,Hospital ,MOH Hospital Patch 
36384,8e2,A,Osler - EGH,William Osler Health - Etobicoke  ,Hospital ,MOH Hospital Patch 
36400,8e3,A,Trillium CVH,Trillium Health Centre - Credit Valley Hospital - Mississauga ,Hospital ,MOH Hospital Patch 
36416,8e4,A,Trillium MGH,Trillium Health Centre - Mississauga General ,Hospital ,MOH Hospital Patch 
36432,8e5,A,MSHC,Markham Stouffville Health Centre ,Hospital ,MOH Hospital Patch 
36448,8e6,A,MackenzieYCH,Mackenzie Healthcare - York Central Hospital ,Hospital ,MOH Hospital Patch 
36464,8e7,A,MGH Spare,Mississauga Hospital Spare ,Hospital ,MOH Hospital Patch 
36480,8e8,A,RVH APH,Rouge Valley Health System - Ajax/Pickering ,Hospital ,MOH Hospital Patch 
